question_idx,chinese,syllables,correct_tone,user_answer,is_correct,time_seconds,timestamp
1,美国,2,32,2,FALSE,99,27/01/2026 11:21
2,问题,2,42,34,FALSE,18.78,27/01/2026 11:21
3,去,1,4,4,TRUE,15.36,27/01/2026 11:21
4,叫,1,4,4,TRUE,15.31,27/01/2026 11:22
5,学校,2,24,24,TRUE,13.82,27/01/2026 11:22
6,车,1,1,1,TRUE,25.39,27/01/2026 11:22
1,美国,2,32,2,FALSE,137.52,27/01/2026 13:51
2,问题,2,42,42,TRUE,131.02,27/01/2026 13:53
3,人,1,2,2,TRUE,41.28,27/01/2026 13:54
4,学校,2,24,24,TRUE,43.88,27/01/2026 13:54
5,白,1,2,12,FALSE,41.54,27/01/2026 13:55
6,老,1,3,3,TRUE,42.69,27/01/2026 13:56
1,白,1,2,2,True,47.49,2026-01-28 10:06:28 (Anneysha)
2,中国,2,12,12,True,47.76,2026-01-28 10:07:17 (Anneysha)
3,叫,1,4,4,True,43.43,2026-01-28 10:08:02 (Anneysha)
4,学校,2,24,24,True,40.72,2026-01-28 10:08:46 (Anneysha)
5,老,1,3,3,True,36.44,2026-01-28 10:09:24 (Anneysha)
6,问题,2,42,42,True,44.04,2026-01-28 10:10:10 (Anneysha)1
1,心,1,1,1,True,52.05,2026-01-28 16:25:07
2,牛奶,2,23,12,False,118.26,2026-01-28 16:27:07
3,学,1,2,2,True,42.96,2026-01-28 16:27:53
4,狗,1,3,3,True,28.53,2026-01-28 16:28:25
5,面包,2,41,41,True,41.57,2026-01-28 16:29:09
6,问题,2,42,4,False,37.53,2026-01-28 16:29:50
1,电脑,2,43,24,False,76.81,2026-01-29 12:16:54
2,商店,2,14,13,False,22.49,2026-01-29 12:17:22
3,问题,2,42,42,True,22.72,2026-01-29 12:18:00
4,去,1,4,23,False,21.15,2026-01-29 12:18:26
5,白,1,2,2,True,15.3,2026-01-29 12:18:48
6,车,1,1,1,True,13.59,2026-01-29 12:19:08
1,火,1,3,3,True,9.7,2026-01-29 16:02:12
2,骂,1,4,4,True,15.54,2026-01-29 16:02:38
3,学,1,2,2,True,13.62,2026-01-29 16:02:59
4,明天,2,21,21,True,16.53,2026-01-29 16:03:19
5,电脑,2,43,24,False,19.23,2026-01-29 16:03:43
6,商店,2,14,12,False,16.37,2026-01-29 16:04:06
1,骂,1,4,2,False,13.61,2026-01-29 16:27:33
