question_idx,chinese,pinyin,syllables,audio,correct_tone,user_answer,is_correct,time_seconds,timestamp
1,明天,míngtiān,2,03_明天_21.wav,21,34,False,24.77,2026-01-27 11:27:03
2,面包,miànbāo,2,08_面包_41.wav,41,23,False,12.07,2026-01-27 11:27:45
3,人,rén,1,05_人_2.wav,2,1,False,8.16,2026-01-27 11:28:10
4,电脑,diànnǎo,2,10_电脑_43.wav,43,34,False,15.53,2026-01-27 11:28:47
5,天,tiān,1,01_天_1.wav,1,1,True,7.48,2026-01-27 11:29:04
6,白,bái,1,06_白_2.wav,2,2,True,10.38,2026-01-27 11:29:24
1,面包,miànbāo,2,08_面包_41.wav,41,3,False,19.62,2026-01-27 14:04:36
2,骂,mà,1,11_骂_4.wav,4,4,True,17.52,2026-01-27 14:05:20
3,天,tiān,1,01_天_1.wav,1,41,False,9.84,2026-01-27 14:06:04
4,美国,měiguó,2,07_美国_32.wav,32,2,False,14.49,2026-01-27 14:06:30
5,叫,jiào,1,10_叫_4.wav,4,4,True,19.61,2026-01-27 14:07:27
6,商店,shāngdiàn,2,02_商店_14.wav,14,34,False,20.73,2026-01-27 14:07:59
1,老师,lǎoshī,2,06_老师_31.wav,31,24,False,33.81,2026-01-27 15:21:20
2,老,lǎo,1,07_老_3.wav,3,3,True,4.76,2026-01-27 15:21:56
3,白,bái,1,06_白_2.wav,2,1,False,10.23,2026-01-27 15:22:15
4,商店,shāngdiàn,2,02_商店_14.wav,14,41,False,12.45,2026-01-27 15:22:45
5,中国,zhōngguó,2,01_中国_12.wav,12,12,True,6.87,2026-01-27 15:23:08
6,车,chē,1,03_车_1.wav,1,1,True,5.23,2026-01-27 15:23:36
1,老师,lǎoshī,2,06_老师_31.wav,31,31,True,5.69,2026-01-27 16:28:33
2,电脑,diànnǎo,2,10_电脑_43.wav,43,13,False,11.78,2026-01-27 16:29:11
3,心,xīn,1,02_心_1.wav,1,2,False,3.8,2026-01-27 16:29:45
4,叫,jiào,1,10_叫_4.wav,4,4,True,5.27,2026-01-27 16:30:14
