item_idx,chinese,pinyin,syllables,ref_audio,audio_recording,timestamp
1,商店,shāngdiàn,2,02_商店_14.wav,rec_商店_20260129_151704.wav,2026-01-29 15:17:04
1,商店,shāngdiàn,2,02_商店_14.wav,rec_商店_20260129_151731.wav,2026-01-29 15:17:31
2,老,lǎo,1,07_老_3.wav,SKIPPED,2026-01-29 15:25:34
3,人,rén,1,05_人_2.wav,SKIPPED,2026-01-29 15:25:35
4,美国,měiguó,2,07_美国_32.wav,SKIPPED,2026-01-29 15:25:35
5,中国,zhōngguó,2,01_中国_12.wav,SKIPPED,2026-01-29 15:25:35
6,心,xīn,1,02_心_1.wav,SKIPPED,2026-01-29 15:25:35
1,去,qù,1,12_去_4.wav,SKIPPED,2026-02-02 14:00:20
2,天,tiān,1,01_天_1.wav,SKIPPED,2026-02-02 14:00:50
3,美国,měiguó,2,07_美国_32.wav,SKIPPED,2026-02-02 14:01:10
4,面包,miànbāo,2,08_面包_41.wav,SKIPPED,2026-02-02 14:01:37
5,老师,lǎoshī,2,06_老师_31.wav,SKIPPED,2026-02-02 14:01:58
6,叫,jiào,1,10_叫_4.wav,SKIPPED,2026-02-02 14:02:22
1,车,chē,1,03_车_1.wav,rec_车_20260202_163758.wav,2026-02-02 16:37:58
2,老师,lǎoshī,2,06_老师_31.wav,SKIPPED,2026-02-02 16:39:22
3,骂,mà,1,11_骂_4.wav,SKIPPED,2026-02-02 16:40:18
4,叫,jiào,1,10_叫_4.wav,SKIPPED,2026-02-02 16:40:41
5,学校,xuéxiào,2,05_学校_24.wav,SKIPPED,2026-02-02 16:41:09
6,面包,miànbāo,2,08_面包_41.wav,SKIPPED,2026-02-02 16:41:34
1,学校,xuéxiào,2,05_学校_24.wav,SKIPPED,2026-02-02 19:42:07
2,明天,míngtiān,2,03_明天_21.wav,SKIPPED,2026-02-02 19:42:35
3,去,qù,1,12_去_4.wav,SKIPPED,2026-02-02 19:42:56
4,叫,jiào,1,10_叫_4.wav,SKIPPED,2026-02-02 19:43:20
5,白,bái,1,06_白_2.wav,SKIPPED,2026-02-02 19:43:36
6,老师,lǎoshī,2,06_老师_31.wav,SKIPPED,2026-02-02 19:44:12
1,火,huǒ,1,08_火_3.wav,SKIPPED,2026-02-03 11:15:42
2,车,chē,1,03_车_1.wav,SKIPPED,2026-02-03 11:16:12
3,中国,zhōngguó,2,01_中国_12.wav,SKIPPED,2026-02-03 11:16:30
4,问题,wèntí,2,09_问题_42.wav,SKIPPED,2026-02-03 11:16:50
5,天,tiān,1,01_天_1.wav,SKIPPED,2026-02-03 11:17:11
6,老师,lǎoshī,2,06_老师_31.wav,SKIPPED,2026-02-03 11:17:31
1,去,qù,1,12_去_4.wav,SKIPPED,2026-02-04 10:49:05
2,电脑,diànnǎo,2,10_电脑_43.wav,SKIPPED,2026-02-04 10:49:44
3,问题,wèntí,2,09_问题_42.wav,SKIPPED,2026-02-04 10:50:15
4,中国,zhōngguó,2,01_中国_12.wav,SKIPPED,2026-02-04 10:50:45
5,天,tiān,1,01_天_1.wav,SKIPPED,2026-02-04 10:51:11
6,骂,mà,1,11_骂_4.wav,SKIPPED,2026-02-04 10:51:40
1,中国,zhōngguó,2,01_中国_12.wav,SKIPPED,2026-02-04 11:20:09
2,白,bái,1,06_白_2.wav,SKIPPED,2026-02-04 11:21:01
3,商店,shāngdiàn,2,02_商店_14.wav,SKIPPED,2026-02-04 11:21:31
4,电脑,diànnǎo,2,10_电脑_43.wav,SKIPPED,2026-02-04 11:22:11
5,骂,mà,1,11_骂_4.wav,SKIPPED,2026-02-04 11:22:48
6,去,qù,1,12_去_4.wav,SKIPPED,2026-02-04 11:23:19
1,明天,míngtiān,2,03_明天_21.wav,SKIPPED,2026-02-04 11:53:35
2,老,lǎo,1,07_老_3.wav,SKIPPED,2026-02-04 11:54:06
3,去,qù,1,12_去_4.wav,SKIPPED,2026-02-04 11:54:26
4,心,xīn,1,02_心_1.wav,SKIPPED,2026-02-04 11:55:07
5,学校,xuéxiào,2,05_学校_24.wav,SKIPPED,2026-02-04 11:55:34
6,商店,shāngdiàn,2,02_商店_14.wav,SKIPPED,2026-02-04 11:56:00
1,学,xué,1,04_学_2.wav,SKIPPED,2026-02-04 14:29:14
2,火,huǒ,1,08_火_3.wav,SKIPPED,2026-02-04 14:29:49
3,狗,gǒu,1,09_狗_3.wav,SKIPPED,2026-02-04 14:30:25
4,电脑,diànnǎo,2,10_电脑_43.wav,SKIPPED,2026-02-04 14:30:54
5,中国,zhōngguó,2,01_中国_12.wav,SKIPPED,2026-02-04 14:31:21
6,学校,xuéxiào,2,05_学校_24.wav,SKIPPED,2026-02-04 14:32:03
1,电脑,diànnǎo,2,10_电脑_43.wav,SKIPPED,2026-02-04 15:11:28
2,天,tiān,1,01_天_1.wav,SKIPPED,2026-02-04 15:11:49
3,美国,měiguó,2,07_美国_32.wav,SKIPPED,2026-02-04 15:12:09
4,商店,shāngdiàn,2,02_商店_14.wav,SKIPPED,2026-02-04 15:12:33
5,人,rén,1,05_人_2.wav,SKIPPED,2026-02-04 15:12:54
6,骂,mà,1,11_骂_4.wav,SKIPPED,2026-02-04 15:13:12
1,车,chē,1,03_车_1.wav,SKIPPED,2026-02-04 15:36:10
2,中国,zhōngguó,2,01_中国_12.wav,SKIPPED,2026-02-04 15:36:40
3,学,xué,1,04_学_2.wav,SKIPPED,2026-02-04 15:37:02
4,问题,wèntí,2,09_问题_42.wav,SKIPPED,2026-02-04 15:37:23
5,人,rén,1,05_人_2.wav,SKIPPED,2026-02-04 15:37:34
6,牛奶,niúnǎi,2,04_牛奶_23.wav,SKIPPED,2026-02-04 15:37:55
1,学校,xuéxiào,2,05_学校_24.wav,SKIPPED,2026-02-04 17:29:32
2,老师,lǎoshī,2,06_老师_31.wav,SKIPPED,2026-02-04 17:29:50
3,骂,mà,1,11_骂_4.wav,SKIPPED,2026-02-04 17:30:10
4,中国,zhōngguó,2,01_中国_12.wav,SKIPPED,2026-02-04 17:30:32
5,心,xīn,1,02_心_1.wav,SKIPPED,2026-02-04 17:30:47
6,叫,jiào,1,10_叫_4.wav,SKIPPED,2026-02-04 17:31:05
1,商店,shāngdiàn,2,02_商店_14.wav,SKIPPED,2026-02-05 09:47:42
2,老师,lǎoshī,2,06_老师_31.wav,SKIPPED,2026-02-05 09:48:05
3,叫,jiào,1,10_叫_4.wav,SKIPPED,2026-02-05 09:48:30
4,人,rén,1,05_人_2.wav,SKIPPED,2026-02-05 09:49:06
5,火,huǒ,1,08_火_3.wav,SKIPPED,2026-02-05 09:49:33
6,电脑,diànnǎo,2,10_电脑_43.wav,SKIPPED,2026-02-05 09:50:04
1,电脑,diànnǎo,2,10_电脑_43.wav,SKIPPED,2026-02-05 12:14:43
2,问题,wèntí,2,09_问题_42.wav,SKIPPED,2026-02-05 12:15:11
3,火,huǒ,1,08_火_3.wav,SKIPPED,2026-02-05 12:15:38
4,美国,měiguó,2,07_美国_32.wav,SKIPPED,2026-02-05 12:16:01
5,叫,jiào,1,10_叫_4.wav,SKIPPED,2026-02-05 12:16:26
6,天,tiān,1,01_天_1.wav,SKIPPED,2026-02-05 12:16:50
1,学,xué,1,04_学_2.wav,SKIPPED,2026-02-05 13:44:44
2,骂,mà,1,11_骂_4.wav,SKIPPED,2026-02-05 13:46:04
3,车,chē,1,03_车_1.wav,SKIPPED,2026-02-05 13:47:01
4,商店,shāngdiàn,2,02_商店_14.wav,SKIPPED,2026-02-05 13:47:32
5,电脑,diànnǎo,2,10_电脑_43.wav,SKIPPED,2026-02-05 13:47:59
6,美国,měiguó,2,07_美国_32.wav,SKIPPED,2026-02-05 13:48:27
1,车,chē,1,03_车_1.wav,SKIPPED,2026-02-05 15:24:10
2,天,tiān,1,01_天_1.wav,SKIPPED,2026-02-05 15:24:46
3,叫,jiào,1,10_叫_4.wav,SKIPPED,2026-02-05 15:25:19
4,学校,xuéxiào,2,05_学校_24.wav,SKIPPED,2026-02-05 15:26:01
5,商店,shāngdiàn,2,02_商店_14.wav,SKIPPED,2026-02-05 15:26:34
6,老师,lǎoshī,2,06_老师_31.wav,SKIPPED,2026-02-05 15:27:10
1,骂,mà,1,11_骂_4.wav,SKIPPED,2026-02-11 13:17:03
2,美国,měiguó,2,07_美国_32.wav,SKIPPED,2026-02-11 13:17:21
3,中国,zhōngguó,2,01_中国_12.wav,SKIPPED,2026-02-11 13:17:37
4,学校,xuéxiào,2,05_学校_24.wav,SKIPPED,2026-02-11 13:17:52
5,叫,jiào,1,10_叫_4.wav,SKIPPED,2026-02-11 13:18:08
6,老,lǎo,1,07_老_3.wav,SKIPPED,2026-02-11 13:18:26
1,车,chē,1,03_车_1.wav,SKIPPED,2026-02-11 15:17:34
2,中国,zhōngguó,2,01_中国_12.wav,SKIPPED,2026-02-11 15:17:56
